x,CF
0.6166666666666667,0.003623949579831885
0.6294077134986227,0.005580357142857143
0.6406060606060606,0.008607142857142844
0.6525558616467707,0.012566137566137517
0.6647716837799482,0.017559523809523775
0.6772197499470227,0.02362637362637362
0.6889807162534436,0.03169642857142857
0.7006887052341597,0.04107142857142857
0.7110192837465565,0.05159774436090225
0.7199265381083564,0.060238095238095264
0.727428434543059,0.07065217391304353
0.7345454545454546,0.08096428571428567
0.7400826446280993,0.0903571428571429
0.7433479176794686,0.09978991596638655
0.7479338842975205,0.1088392857142857
0.7518407212622089,0.11796536796536797
0.755680774689039,0.12992424242424241
0.758213716108453,0.1395206766917293
0.7644628099173554,0.15008928571428573
0.7667638956409011,0.1618172268907563
0.7693296602387512,0.1755952380952381
0.7730027548209366,0.1849078341013825
0.7764462809917356,0.1966517857142857
0.7798898071625344,0.21116071428571428
0.7840220385674932,0.2241369047619048
0.7864918780279282,0.2350985221674877
0.7886134067952251,0.2458994708994709
0.7902203856749312,0.25535714285714284
0.7931719795356158,0.26677295918367344
0.7950942996397543,0.27901785714285715
0.7971074380165288,0.28790584415584414
0.8005509641873279,0.3008064516129032
0.8022908510946789,0.31184210526315786
0.8047291092745639,0.3221428571428572
0.8067493112947659,0.33125
0.8095041322314049,0.3435267857142857
0.81095806550352,0.35449735449735453
0.8156514641363126,0.36736111111111114
0.8172451790633608,0.37557142857142856
0.8176498527595706,0.3860221674876847
0.8198347107438018,0.3964285714285714
0.8225895316804408,0.409375
0.8246556473829201,0.41897321428571427
0.8272574227119682,0.42966269841269844
0.8301652892561984,0.4419642857142857
0.8329201101928374,0.45267857142857143
0.8378787878787879,0.463422619047619
0.8437608407305377,0.47361111111111115
0.8516928818981604,0.48338133640552994
0.8641352095897552,0.49044401544401545
0.8760881542699726,0.4938571428571429
0.8877213695395514,0.4931377551020408
0.9005407611468217,0.49024470899470907
0.9122195985832349,0.48252551020408163
0.9218963831867057,0.4732142857142857
0.9301608459966231,0.46339285714285716
0.9386161076000648,0.4547794117647059
0.9484950515253545,0.4456679894179894
0.9590551984491378,0.43624338624338627
0.9704826038159371,0.4262896825396825
0.9834993289538745,0.41712454212454214
0.9949311294765841,0.4105714285714286
1.0071625344352617,0.4035714285714286
1.018870523415978,0.3982142857142857
1.031267217630854,0.3939732142857143
1.0429752066115703,0.39151785714285714
1.0553719008264464,0.38973214285714286
1.0670798898071625,0.3878826530612245
1.0794236066963339,0.38612637362637364
1.0915184906920445,0.38495670995670994
1.1035812672176308,0.38562788018433175
1.114963027403219,0.38547932330827067
1.1272797909161545,0.3854395604395604
1.1399943490852582,0.38507326007326004
1.1517906336088155,0.38660714285714287
1.1641873278236914,0.3875
1.175784235315027,0.38885368663594466
1.1883449883449884,0.3895260989010989
1.2,0.39107142857142857
1.212396694214876,0.39205069124423964
