Date;Time;lat;lon;id 
22/10/2025;12:01:02;76.312998;-70.093184;108
22/10/2025;18:01:29;76.364890;-70.415757;109
23/10/2025;00:02:02;76.389997;-70.728301;110
23/10/2025;06:01:51;76.486976;-70.939731;111
23/10/2025;12:01:26;76.516819;-71.067469;112
23/10/2025;18:02:54;76.611162;-71.144672;113
24/10/2025;00:01:03;76.663245;-71.241747;114
24/10/2025;06:01:56;76.765056;-71.440832;115
24/10/2025;12:01:02;76.791149;-71.597184;116
24/10/2025;18:02:04;76.842912;-71.797254;117
25/10/2025;00:00:31;76.831968;-71.962944;118
25/10/2025;12:01:01;76.788429;-72.209261;119
25/10/2025;18:02:56;76.789920;-72.325440;120
26/10/2025;00:02:21;76.743238;-72.349248;121
26/10/2025;06:01:33;76.740378;-72.374957;122
27/10/2025;00:01:32;76.810541;-72.602406;123
27/10/2025;06:01:25;76.875296;-72.693069;124
27/10/2025;12:00:31;76.882054;-72.743187;125
28/10/2025;00:02:02;76.859251;-72.831546;126
28/10/2025;12:00:55;76.782534;-72.765139;127
28/10/2025;18:00:55;76.771424;-72.829805;128
29/10/2025;00:00:31;76.716179;-72.700134;129
29/10/2025;18:01:57;76.654765;-72.876902;130
31/10/2025;00:00:31;76.576998;-73.297734;131
31/10/2025;18:01:19;76.527731;-73.411046;132
07/11/2025;00:00:32;75.775194;-74.951462;133
07/11/2025;06:00:46;75.725837;-75.015706;134
07/11/2025;12:00:31;75.633299;-74.991462;135
07/11/2025;18:00:31;75.577414;-75.055021;136
08/11/2025;00:01:09;75.462675;-74.998067;137
08/11/2025;06:01:02;75.351520;-74.977830;138
09/11/2025;00:02:02;75.173318;-75.049158;139
09/11/2025;06:00:31;75.157498;-75.060941;140
09/11/2025;12:02:19;75.107802;-75.077357;141
10/11/2025;00:01:01;75.077555;-75.194982;142
10/11/2025;12:00:31;75.070669;-75.212109;143
10/11/2025;18:00:31;75.080800;-75.236166;144
11/11/2025;00:00:31;75.082227;-75.254842;145
11/11/2025;06:00:31;75.099917;-75.163072;146
12/11/2025;12:01:31;75.058963;-75.310464;147
13/11/2025;00:01:26;75.047238;-75.418771;148
13/11/2025;06:00:57;75.077549;-75.480224;149
13/11/2025;12:01:01;75.060608;-75.483898;150
13/11/2025;18:01:01;75.103187;-75.552486;151
14/11/2025;00:00:31;75.124710;-75.564691;152
14/11/2025;06:02:27;75.165958;-75.672966;153
14/11/2025;12:00:55;75.182931;-75.634822;154
14/11/2025;18:01:49;75.195194;-75.579456;155
15/11/2025;12:00:57;75.190566;-75.423360;156
